what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002444061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002446551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002455266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002459027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002459699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002464788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002470787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002481237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002482715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002485436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002502957
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002559475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350002560937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002566078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002570842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002581442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350002582169
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350002584176
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1350002592831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002593483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002598249
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002601172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002601423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002604083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002605972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002612156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002618554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002618638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002621042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002647977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002699866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350002701241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350002701398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350002701838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350002703222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002708205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002718296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002811921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002813095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002839040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002849818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002853055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1350002860365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002860568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002860959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1350002863428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002864311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002866721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350002894225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350002894382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002902953
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1350002908572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1350002908997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002911246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002917169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002925231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002955849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1350002956371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002958150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350002964145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002965426
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350002969336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1350002994878
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350002995501
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1350003003155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1350003003611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350003003815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350003004414
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1350003010204
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1350003010587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350003012629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350003015254
